day;weekly;monthly1;monthly3;monthly6;yearly
2022-06-15;-0.566;-0.494;-0.182;0.237;1.067
2022-06-14;-0.571;-0.512;-0.243;0.175;0.957
2022-06-13;-0.568;-0.536;-0.281;0.108;0.792
2022-06-10;-0.568;-0.539;-0.298;0.083;0.680
2022-06-09;-0.578;-0.533;-0.282;0.063;0.614
2022-06-08;-0.575;-0.537;-0.302;0.034;0.569
2022-06-07;-0.578;-0.525;-0.298;0.029;0.561
2022-06-06;-0.573;-0.531;-0.314;0.009;0.521
2022-06-03;-0.566;-0.538;-0.328;-0.008;0.486
2022-06-02;-0.574;-0.538;-0.327;-0.017;0.450
2022-06-01;-0.577;-0.541;-0.335;-0.034;0.417
2022-05-31;-0.568;-0.546;-0.338;-0.045;0.390
2022-05-30;-0.569;-0.545;-0.354;-0.068;0.361
2022-05-27;-0.572;-0.545;-0.368;-0.076;0.358
2022-05-26;-0.563;-0.544;-0.352;-0.061;0.360
2022-05-25;-0.575;-0.547;-0.351;-0.062;0.359
2022-05-24;-0.573;-0.543;-0.356;-0.073;0.364
2022-05-23;-0.568;-0.543;-0.363;-0.085;0.348
2022-05-20;-0.566;-0.535;-0.348;-0.078;0.353
2022-05-19;-0.563;-0.542;-0.348;-0.096;0.344
2022-05-18;-0.577;-0.552;-0.368;-0.126;0.313
2022-05-17;-0.564;-0.544;-0.380;-0.166;0.240
2022-05-16;-0.565;-0.558;-0.403;-0.192;0.206
2022-05-13;-0.564;-0.546;-0.403;-0.209;0.182
2022-05-12;-0.568;-0.544;-0.406;-0.211;0.230
2022-05-11;-0.571;-0.566;-0.414;-0.208;0.227
2022-05-10;-0.564;-0.553;-0.417;-0.202;0.236
2022-05-09;-0.568;-0.533;-0.402;-0.183;0.263
2022-05-06;-0.563;-0.553;-0.426;-0.206;0.246
2022-05-05;-0.563;-0.553;-0.421;-0.206;0.253
2022-05-04;-0.569;-0.544;-0.427;-0.205;0.234
2022-05-03;-0.566;-0.543;-0.425;-0.198;0.225
2022-05-02;-0.568;-0.527;-0.416;-0.204;0.213
2022-04-29;-0.566;-0.538;-0.429;-0.226;0.166
2022-04-28;-0.571;-0.522;-0.438;-0.242;0.118
2022-04-27;-0.569;-0.520;-0.445;-0.251;0.109
2022-04-26;-0.576;-0.513;-0.430;-0.246;0.111
2022-04-25;-0.570;-0.500;-0.415;-0.239;0.134
2022-04-22;-0.570;-0.520;-0.427;-0.268;0.084
2022-04-21;-0.570;-0.541;-0.463;-0.310;0.017
2022-04-20;-0.572;-0.569;-0.475;-0.332;-0.014
2022-04-19;-0.572;-0.560;-0.468;-0.333;-0.010
2022-04-14;-0.560;-0.547;-0.452;-0.317;0.003
2022-04-13;-0.560;-0.543;-0.448;-0.328;-0.014
2022-04-12;-0.569;-0.538;-0.433;-0.320;0.005
2022-04-11;-0.573;-0.529;-0.435;-0.334;-0.030
2022-04-08;-0.565;-0.541;-0.449;-0.350;-0.048
2022-04-07;-0.574;-0.548;-0.465;-0.355;-0.058
2022-04-06;-0.567;-0.540;-0.463;-0.361;-0.063
2022-04-05;-0.578;-0.548;-0.467;-0.375;-0.093
2022-04-04;-0.567;-0.551;-0.447;-0.358;-0.083
2022-04-01;-0.564;-0.541;-0.461;-0.362;-0.086
2022-03-31;-0.579;-0.532;-0.458;-0.367;-0.073
2022-03-30;-0.570;-0.527;-0.464;-0.371;-0.103
2022-03-29;-0.576;-0.533;-0.473;-0.381;-0.105
2022-03-28;-0.562;-0.536;-0.477;-0.388;-0.127
2022-03-25;-0.561;-0.546;-0.477;-0.392;-0.142
2022-03-24;-0.573;-0.541;-0.483;-0.397;-0.160
2022-03-23;-0.567;-0.549;-0.493;-0.392;-0.165
2022-03-22;-0.568;-0.562;-0.499;-0.393;-0.186
2022-03-21;-0.566;-0.550;-0.494;-0.391;-0.203
2022-03-18;-0.566;-0.557;-0.487;-0.393;-0.207
2022-03-17;-0.565;-0.548;-0.493;-0.402;-0.216
2022-03-16;-0.569;-0.554;-0.488;-0.393;-0.232
2022-03-15;-0.571;-0.553;-0.502;-0.407;-0.237
2022-03-14;-0.575;-0.556;-0.500;-0.413;-0.258
2022-03-11;-0.565;-0.548;-0.502;-0.414;-0.268
2022-03-10;-0.571;-0.549;;-0.427;-0.293
2022-03-09;-0.565;-0.530;-0.491;-0.424;-0.308
2022-03-08;-0.583;-0.528;;-0.443;-0.328
2022-03-07;-0.568;-0.517;-0.498;-0.453;-0.352
2022-03-04;-0.567;-0.546;-0.520;-0.482;-0.359
2022-03-03;-0.574;-0.549;-0.526;-0.485;-0.377
2022-03-02;-0.560;-0.558;-0.532;-0.502;-0.398
2022-03-01;-0.565;-0.553;;-0.496;-0.363
2022-02-28;-0.567;-0.551;-0.533;-0.493;-0.349
2022-02-25;-0.558;-0.543;-0.528;-0.488;-0.348
2022-02-24;-0.576;-0.548;-0.530;-0.480;-0.323
2022-02-23;-0.568;-0.544;-0.529;-0.483;-0.332
2022-02-22;-0.569;-0.555;-0.528;-0.490;-0.337
2022-02-21;-0.576;-0.556;-0.527;-0.482;-0.332
2022-02-18;-0.568;-0.557;-0.528;-0.487;-0.329
2022-02-17;-0.578;-0.562;-0.529;-0.478;-0.313
2022-02-16;-0.571;-0.558;-0.524;-0.461;-0.286
2022-02-15;-0.578;-0.555;-0.523;-0.455;-0.285
2022-02-14;-0.583;-0.551;;-0.448;-0.283
2022-02-11;-0.577;-0.557;-0.523;-0.458;-0.298
2022-02-10;-0.571;-0.552;-0.528;-0.467;-0.325
2022-02-09;-0.578;-0.547;-0.523;-0.457;-0.313
2022-02-08;-0.570;-0.545;-0.538;-0.463;-0.313
2022-02-07;-0.573;-0.548;-0.530;-0.456;-0.310
2022-02-04;-0.569;-0.551;-0.548;-0.473;-0.346
2022-02-03;-0.568;-0.560;-0.551;-0.499;-0.423
2022-02-02;-0.564;-0.561;-0.547;-0.502;-0.429
2022-02-01;-0.567;-0.560;-0.547;-0.503;-0.431
2022-01-31;-0.567;-0.567;-0.552;-0.514;-0.453
2022-01-28;-0.573;-0.563;-0.550;-0.519;-0.459
2022-01-27;-0.573;-0.565;-0.547;-0.518;-0.466
2022-01-26;-0.572;-0.565;-0.554;-0.524;-0.468
2022-01-25;-0.572;-0.562;-0.548;-0.523;-0.467
2022-01-24;-0.573;-0.563;-0.543;-0.522;-0.463
2022-01-21;-0.573;-0.559;-0.552;-0.522;-0.462
2022-01-20;-0.577;-0.561;-0.553;-0.521;-0.460
2022-01-19;-0.573;-0.563;-0.557;-0.524;-0.468
2022-01-18;-0.578;-0.563;-0.558;-0.524;-0.468
2022-01-17;-0.582;-0.562;-0.560;-0.523;-0.470
2022-01-14;-0.574;-0.565;-0.568;-0.533;-0.483
2022-01-13;-0.577;-0.568;-0.563;-0.534;-0.483
2022-01-12;-0.580;-0.563;-0.563;-0.529;-0.475
2022-01-11;-0.581;-0.564;-0.564;-0.528;-0.490
2022-01-10;-0.579;-0.563;-0.570;-0.531;-0.489
2022-01-07;-0.574;-0.565;-0.576;-0.536;-0.493
2022-01-06;-0.579;-0.570;-0.574;-0.534;-0.496
2022-01-05;-0.581;-0.566;-0.576;-0.541;-0.500
2022-01-04;-0.575;-0.569;-0.565;-0.535;-0.498
2022-01-03;-0.587;-0.576;-0.570;-0.539;-0.499
